"cluster" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop" "dyntaxa_match" "dyntaxa_name" "SE_occurrence"
"3695" "Tortricidae_cluster94" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Olethreutes" "Olethreutes_X" "BOLAAF7094" "Phiaris umbrosana" 6 1 "Exact" "Phiaris umbrosana" "Bofast och reproducerande"
"3766" "Geometridae_cluster73" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Idaea" "Idaea_X" "BOLAAA9359" "Idaea deversaria" 32 0.864864864864865 "NeedsManualSelection" "Välj ett av 2 matchande taxa; Art: Idaea deversaria (Herrich-Schäffer, 1847), halvenkel lövmätare [250436]; Art: Idaea deversaria (Herrich-Schäffer, 1847), skugglinjelövmätare [250447]" ""
"3843" "Gracillariidae_cluster21" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Callisto" "Callisto_X" "BOLAAE0738" "Callisto coffeella" 32 0.581818181818182 "Exact" "Callisto coffeella" "Bofast och reproducerande"
"4030" "Plutellidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Plutellidae" "Ypsolophus" "Ypsolophus_X" "BOLAAE4530" "Ypsolopha sylvella" 23 0.958333333333333 "Exact" "Ypsolopha sylvella" "Bofast och reproducerande"
"4068" "Tortricidae_cluster104" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Rhyacionia" "Rhyacionia_X" "BOLAAF7906" "Rhyacionia duplana" 16 0.666666666666667 "Exact" "Rhyacionia duplana" "Bofast och reproducerande"
"4100" "Coleophoridae_cluster12" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora_X" "BOLAAE1262" "Coleophora thulea" 10 0.588235294117647 "Exact" "Coleophora thulea" "Bofast och reproducerande"
"4333" "Tortricidae_cluster108" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Syricoris" "Syricoris_X" "BOLAAF3174" "Celypha tiedemanniana" 4 1 "Exact" "Celypha tiedemanniana" "Bofast och reproducerande"
"4354" "Gelechiidae_cluster42" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Teleiopsis" "Teleiopsis_X" "BOLACE6105" "Teleiopsis diffinis" 26 0.577777777777778 "Exact" "Teleiopsis diffinis" "Bofast och reproducerande"
"4539" "Incurvariidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Incurvariidae" "Lampronia" "Lampronia_X" "BOLAAD1334" "Incurvaria oehlmanniella" 19 0.730769230769231 "Exact" "Incurvaria oehlmanniella" "Bofast och reproducerande"
"4704" "Psychidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Psychidae" "Psychidae_X" "Psychidae_XX" "BOLAAD1525" "Siederia rupicolella" 27 0.771428571428571 "Exact" "Dahlica rupicolella" "Bofast och reproducerande"
