Ursprunglig namnsträng;Matchningsstatus;Taxon-id;Vetenskapligt namn;Auktor;Vetenskapliga synonymer;Svensk förekomst
Argyroploce roseomaculana;Exact;215038;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);;Bofast och reproducerande
Telechrysis tripuncta;Exact;214416;Telechrysis tripuncta;(Haworth, 1828);trepunktpraktmal;Bofast och reproducerande
Argyroploce roseomaculana;Exact;215038;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);;Bofast och reproducerande
Eteobalea anonymella;Exact;214589;Eteobalea anonymella;(Riedl, 1965);anonym silvermal;Bofast och reproducerande
Argyroploce roseomaculana;Exact;215038;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);;Bofast och reproducerande
Favonius quercus;Exact;201121;Favonius quercus;(Linnaeus, 1758);"Papilio quercus Llinnaeus, 1758; Thecla quercus (Linnaeus, 1758); Ruralis quercus (Linnaeus, 1758); Quercusia quercus (Linnaeus, 1758); Neozephyrus quercus (Linnaeus, 1758); blå eksnabbvinge";Bofast och reproducerande
Boloria euphrosyne;Exact;201076;Boloria euphrosyne;(Linnaeus, 1758);"Papilio euphrosyne Linnaeus, 1758; Brenthis euphrosyne (Linnaeus, 1758); Clossiana euphrosyne (Linnaeus, 1758); Argynnis euphrosyne (Linnaeus, 1758)";Bofast och reproducerande
Ypsolopha ustella;Exact;214194;Ypsolopha ustella;(Clerck, 1759);"längsstreckad höstmal; Phalaena ustella Clerck, 1759; Phalaena radiatella Donovan, 1794; Ypsolopha radiatella (Donovan, 1794)";Bofast och reproducerande
Dahlica triquetrella;Exact;213992;Dahlica triquetrella;(Hübner, 1813);Tinea triquetrella Hübner, 1813;Bofast och reproducerande
Martania taeniata;Exact;215777;Martania taeniata;(Stephens, 1831);Perizoma taeniata (Stephens, 1831);Bofast och reproducerande
Apamea scolopacina;Exact;216102;Apamea scolopacina;(Esper, 1788);;Bofast och reproducerande
Polyommatus amandus;Exact;201146;Polyommatus amandus;(Schneider, 1792);"Papilio amandus Schneider, 1792; Plebicula amanda (Schneider, 1792); Lysandra icarius (Esper, 1792); silverfärgad blåvinge; Cyaniris amandus (Schneider, 1792)";Bofast och reproducerande
Ypsolopha sylvella;Exact;214192;Ypsolopha sylvella;(Linnaeus, 1767);"skogsekhöstmal; Phalaena sylvella Linnaeus, 1767";Bofast och reproducerande
Stigmella saliciscluster3;NoMatch;;;;;
Gandaritis pyraliata;Exact;215726;Gandaritis pyraliata;(Denis & Schiffermuller, 1775);Eulithis pyraliata (Denis & Schiffermüller, 1775);Bofast och reproducerande
Sterrhopterix standfussi;Exact;214012;Sterrhopterix standfussi;(Wocke, 1851);"Psyche standfussi Wocke, 1851; standfuss säckspinnare";Bofast och reproducerande
Dahlica charlottae;Exact;213995;Dahlica charlottae;(Meier, 1957);Solenobia charlottae Meier, 1957;Bofast och reproducerande
Agriades optilete;Exact;201151;Agriades optilete;(Knoch, 1781);"Plebejus optilete (Knoch, 1781); Papilio optilete Knoch, 1781; Plebeius optilete (Knoch, 1781); Vacciniina optilete (Knoch, 1781)";Bofast och reproducerande
Lampronia capitella;Exact;213914;Lampronia capitella;(Clerck, 1759);"vinbärsmal; vinbärsskottmal; Phalaena capitella Clerck, 1759";Bofast och reproducerande
Lampronia luzella;Exact;213915;Lampronia luzella;(Hübner, 1817);Tinea luzella Hübner, 1817;Bofast och reproducerande
Celypha siderana;Exact;215015;Celypha siderana;(Treitschke, 1835);;Bofast och reproducerande
Hoplodrina ambigua;Exact;216011;Hoplodrina ambigua;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
