CLUSTER_ID;STATUS;Provided string;Matching status;Taxon id;Scientific name;Author;Scientific synonyms;Swedish occurrence
Gelechiidae_cluster23;assigned;Aristotelia ericinella;Exact;214597;Aristotelia ericinella;(Zeller, 1839);;Bofast och reproducerande
Gelechiidae_cluster29;assigned;Aroga velocella;Exact;214701;Aroga velocella;(Zeller, 1839);längsstreckad syrestävmal;Bofast och reproducerande
Gelechiidae_cluster75;assigned;Aroga velocella;Exact;214701;Aroga velocella;(Zeller, 1839);längsstreckad syrestävmal;Bofast och reproducerande
Gracillariidae_cluster33;assigned;Aspilapteryx tringipennella;Exact;214052;Aspilapteryx tringipennella;(Zeller, 1839);"grobladstyltmal; Gracillaria tringipennella Zeller, 1839";Bofast och reproducerande
Pyralidae_cluster18;assigned;Assara terebrella;Exact;215356;Assara terebrella;(Zincken, 1818);;Bofast och reproducerande
Pyralidae_cluster8;assigned;Assara terebrella;Exact;215356;Assara terebrella;(Zincken, 1818);;Bofast och reproducerande
Yponomeutidae_cluster18;assigned;Atemelia torquatella;Exact;214153;Atemelia torquatella;(Zeller, 1846);Oecophora torquatella Zeller, 1846;Bofast och reproducerande
Noctuidae_cluster112;assigned;Athetis pallustris;Exact;216017;Athetis pallustris;(Hübner, 1808);nordiskt kärrängsfly;Bofast och reproducerande
Gelechiidae_cluster51;assigned;Athrips mouffetella;Exact;214710;Athrips mouffetellus;(Linnaeus, 1758);Athrips mouffetella (Linnaeus, 1758);Bofast och reproducerande
Gelechiidae_cluster127;assigned;Athrips pruinosella;Exact;214708;Athrips pruinosellus;(Lienig & Zeller, 1846);"rimfroststävmal; Athrips pruinosella (Lienig & Zeller, 1846)";Bofast och reproducerande
Gelechiidae_cluster130;assigned;Athrips pruinosella;Exact;214708;Athrips pruinosellus;(Lienig & Zeller, 1846);"rimfroststävmal; Athrips pruinosella (Lienig & Zeller, 1846)";Bofast och reproducerande
Gelechiidae_cluster46;assigned;Athrips pruinosella;Exact;214708;Athrips pruinosellus;(Lienig & Zeller, 1846);"rimfroststävmal; Athrips pruinosella (Lienig & Zeller, 1846)";Bofast och reproducerande
Gelechiidae_cluster99;;;Manual;;Athrips tetrapunctellus;(Thunberg, 1794);kärrvialsstävmal;Bofast och reproducerande
